microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size
M300577	103	44.666492242652666	4.003274920892545	Caecum right	Positive	MSEB0006	G121eI101B	B11	77418.89518	29907.91612	4815
M300578	101	44.52606714660387	3.942073015218913	Caecum right	Positive	MSEB0006	G121eI101B	B12	76897.21194	30198.47874	5140
M300580	102	43.7779608050754	3.966526153813986	Caecum right	Positive	MSEB0006	G121eI101B	B12	77026.94014	30039.53134	5140
M300581	79	39.97563921438097	3.8982160094949503	Caecum right	Positive	MSEB0006	G121eI101B	B12	77028.59698	29718.1991	5140
M300582	78	38.89853111657574	3.9078790476367464	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.21278	29448.2447	5140
M300583	95	38.37384360744179	4.002493339205793	Caecum right	Positive	MSEB0006	G121eI101B	B12	77009.20244	28923.10328	5140
M300584	104	44.91862628378574	3.992408782586382	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.41278	28061.84066	5140
M300588	102	42.61872833493633	3.997889102234764	Caecum right	Positive	MSEB0006	G121eI101B	B12	75330.01734	26890.36198	5141
M300589	99	41.45969066694965	3.963052015518381	Caecum right	Positive	MSEB0006	G121eI101B	B12	75862.86558	27323.96416	5141
M300590	96	40.48216188266011	4.13123763669648	Caecum right	Positive	MSEB0006	G121eI101B	B12	76508.23134	27653.83552	5141
M300592	103	40.97123433805971	4.0923626813858185	Caecum right	Positive	MSEB0006	G121eI101B	B12	77351.46416	28017.2736	5141
M300593	98	42.12655000309731	4.0824427159575	Caecum right	Positive	MSEB0006	G121eI101B	B12	77854.21644	28261.4887	5141
M300594	96	43.659878995915236	4.066965230613606	Caecum right	Positive	MSEB0006	G121eI101B	B12	75509.65016	26477.81882	4976
M300595	102	37.73876572062431	4.076473034799924	Caecum right	Positive	MSEB0006	G121eI101B	B12	75650.54014	26591.91336	4976
M300596	105	40.160723517751244	4.060593640756382	Caecum right	Positive	MSEB0006	G121eI101B	B12	75822.8379	26598.11002	4976
M300597	100	40.5825053703617	4.1077748440333295	Caecum right	Positive	MSEB0006	G121eI101B	B12	76147.10238	26625.27964	4976
M300598	101	41.88701091498883	4.052863477189661	Caecum right	Positive	MSEB0006	G121eI101B	B12	76899.2447	26623.5228	4976
M300599	104	42.93210039116319	3.9705817642910177	Caecum right	Positive	MSEB0006	G121eI101B	B12	76852.72528	26643.02112	4976
M300602	4	3.2586940685583317	1.4498313421179116	Ileum	Positive	MSEB0006	G121eD101C	B11	104424.7	42749.48	5140
M300603	3	2.0266029631359177	1.2667651973023435	Ileum	Positive	MSEB0006	G121eD101C	B11	104606.9	42459.54	5140
M300605	2	1.7290806954576117	1.2163625288304745	Ileum	Positive	MSEB0006	G121eD101C	B11	104954.5	42730.89	5140
M300606	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105122.5	42666.74	5140
M300608	4	2.614424362390257	1.4303165986081667	Ileum	Positive	MSEB0006	G121eD101C	B11	105262.7	42589.77	5140
M300609	4	3.0961106151200197	1.4589923004392709	Ileum	Positive	MSEB0006	G121eD101C	B11	105328.9	42703.6	5140
M300610	4	3.092444577299526	1.4819977081956712	Ileum	Positive	MSEB0006	G121eD101C	B11	105102.4	41497.1	4976
M300611	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105146	41596.22	4976
M300612	4	3.200069557641856	1.4703749370080463	Ileum	Positive	MSEB0006	G121eD101C	B11	105281	41702.52	4976
M300613	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105408.3	41533.66	4976
M300616	3	1.6024699453212008	1.194510176357871	Ileum	Positive	MSEB0006	G121eD101C	B11	105595.7	41999.37	4976
M300617	4	2.59762081569768	1.4136742965119977	Ileum	Positive	MSEB0006	G121eD101C	B11	105983	42106.21	4976
M300619	3	1.8595727551005907	1.2397607196330718	Ileum	Positive	MSEB0006	G121eD101C	B11	106845.7	41525.8	5306
M300622	3	2.658765028367756	1.3559558101640503	Ileum	Positive	MSEB0006	G121eD101C	B11	107262.3	42133.87	5306
M300623	3	2.873136232856682	1.3830109217201136	Ileum	Positive	MSEB0006	G121eD101C	B11	107820.6	41925.02	5306
M300624	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	107233.5	41764.35	5306
M300627	3	2.8629312399722973	1.3817464164013156	Ileum	Positive	MSEB0006	G121eD101C	B12	108112	45420.81	4815
M300628	4	2.6288288503453683	1.503376926928863	Ileum	Positive	MSEB0006	G121eD101C	B12	108221.6	45346.45	4815
M300629	4	1.9071441796708388	1.304654300494197	Ileum	Positive	MSEB0006	G121eD101C	B12	108085.5	45636.13	4815
M300630	4	1.8543130800234775	1.2832506648688606	Ileum	Positive	MSEB0006	G121eD101C	B12	108093.7	45848.93	4815
M300631	5	3.608828006238082	1.726758952198843	Ileum	Positive	MSEB0006	G121eD101C	B12	107697.5	45704.29	4815
M300633	6	2.1792157570616064	1.43640248692629	Ileum	Positive	MSEB0006	G121eD101C	B12	107727.5	45487.09	4815
M300634	5	2.6542595801864968	1.4364361776218404	Ileum	Positive	MSEB0006	G121eD101C	B12	106635.9	42106.55	5384
M300636	4	2.513021491515114	1.4882715978798198	Ileum	Positive	MSEB0006	G121eD101C	B12	106545.5	42220.7	5384
M300638	4	2.7127189664881746	1.4676795104346074	Ileum	Positive	MSEB0006	G121eD101C	B12	106647	42288.86	5384
M300639	7	2.5625940668878804	1.4902818496557335	Ileum	Positive	MSEB0006	G121eD101C	B12	106800.5	41821.88	5384
M300640	3	2.025162351520378	1.2664924947111234	Ileum	Positive	MSEB0006	G121eD101C	B12	107052.7	42525.49	5384
M300642	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B12	108030.7	43599.5	4976
M300644	5	1.6000038267528358	1.2100938354114836	Ileum	Positive	MSEB0006	G121eD101C	B12	NA	NA	NA
M300645	5	1.5028936999600124	1.241771502442088	Ileum	Positive	MSEB0006	G121eD101C	B12	107988.2	43509.47	4976
M300647	5	3.1543877531134816	1.4605069832189908	Ileum	Positive	MSEB0006	G121eD101C	B12	107969.5	43138.84	4976
M300648	5	1.7588637810267709	1.268010540604256	Ileum	Positive	MSEB0006	G121eD101C	B12	107883.7	43169.5	4976
M300704	47	26.137839906428198	3.6564868049309953	Colon	Positive	MSEB0010	G121eO301A	B11	10676.96738	15665.82062	5140
M300705	62	39.30816587027652	3.6607682276639437	Colon	Positive	MSEB0010	G121eO301A	B11	10812.31548	15756.81368	5140
M300706	58	33.85140843517509	3.7742574981123314	Colon	Positive	MSEB0010	G121eO301A	B11	11055.41592	15656.03642	5140
M300707	74	38.63229455463661	3.9200875392294354	Colon	Positive	MSEB0010	G121eO301A	B11	11216.84194	15649.18748	5140
M300708	85	41.4774397020122	3.8306078789077884	Colon	Positive	MSEB0010	G121eO301A	B11	11879.87418	15812.03134	5140
M300711	83	40.40293191109295	3.871548608100793	Colon	Positive	MSEB0010	G121eO301A	B11	12278.12556	15716.47232	5140
M300712	84	42.42807115775901	3.85985210317767	Colon	Positive	MSEB0010	G121eO301A	B11	12139.9368	15889.8483	4976
M300714	77	39.203233555824184	3.97420000908965	Colon	Positive	MSEB0010	G121eO301A	B11	12138.95838	16135.2228	4976
M300715	84	41.93490132097546	3.8206535270931576	Colon	Positive	MSEB0010	G121eO301A	B11	12164.84958	16944.14066	4976
M300716	64	38.06600145862563	3.624854769791225	Colon	Positive	MSEB0010	G121eO301A	B11	12650.44174	17948.62884	4976
M300717	66	38.46182846125016	3.8622724351064788	Colon	Positive	MSEB0010	G121eO301A	B11	13434.73288	19286.92338	4976
M300718	96	46.39994352138073	3.883735578829499	Colon	Positive	MSEB0010	G121eO301A	B11	13238.1966	20246.16108	4976
M300721	92	47.31707287297347	3.7593175340117626	Colon	Positive	MSEB0010	G121eO301A	B11	10372.8246	20398.47932	5306
M300722	56	33.260330457420906	3.7271129079295564	Colon	Positive	MSEB0010	G121eO301A	B11	11173.1095	20408.58966	5306
M300724	80	43.719402399959705	3.7949951690340287	Colon	Positive	MSEB0010	G121eO301A	B11	13295.24592	18310.96776	5306
M300725	21	17.44761720371604	2.9307248174500242	Colon	Positive	MSEB0010	G121eO301A	B11	12939.0334	18128.53828	5306
M300727	81	41.99848031836225	3.9478557479589305	Colon	Positive	MSEB0010	G121eO301A	B11	12777.0937	17606.38202	5306
M300729	8	7.637585117305352	2.619315773820839	Colon	Positive	MSEB0010	G121eO301A	B11	12551.78818	21653.41792	4815
M300730	14	12.494168670022352	2.8066534744459517	Colon	Positive	MSEB0010	G121eO301A	B11	12478.73282	21318.48324	4815
M300731	78	42.804278806428876	3.541317819704987	Colon	Positive	MSEB0010	G121eO301A	B11	12362.87926	20562.75016	4815
M300733	29	21.650468615945762	3.1748382471831045	Colon	Positive	MSEB0010	G121eO301A	B11	12653.67	19720.44008	4815
M300735	67	39.69710427775601	3.6507322692579054	Colon	Positive	MSEB0010	G121eO301A	B11	11471.31336	19136.4	4815
M300736	89	44.552603512425904	3.8260063297854203	Colon	Positive	MSEB0010	G121eO301A	B11	13507.3447	18129.9332	5647
M300738	85	45.260226578722836	3.7461716572050405	Colon	Positive	MSEB0010	G121eO301A	B11	13010.05838	17942.33102	5647
M300741	75	40.57974169928549	3.74168953240111	Colon	Positive	MSEB0010	G121eO301A	B11	12684.36776	17716.75106	5647
M300742	82	42.384535702446286	3.8810680643341855	Colon	Positive	MSEB0010	G121eO301A	B11	12621.54598	17543.53628	5647
M300743	76	41.817271793295774	3.7308518270777595	Colon	Positive	MSEB0010	G121eO301A	B11	12372.90116	16657.59968	5647
M300744	32	24.141379992723106	3.136653875664068	Colon	Positive	MSEB0010	G121eO301A	B11	11994.45138	14153.12974	4976
M300745	59	36.354255805638424	3.462526659354322	Colon	Positive	MSEB0010	G121eO301A	B11	12007.49698	14299.24046	4976
M300747	85	45.968276835863456	3.6490116789847304	Colon	Positive	MSEB0010	G121eO301A	B11	12029.34836	14662.47546	4976
M300748	64	37.120180243708305	3.504468024808461	Colon	Positive	MSEB0010	G121eO301A	B11	12076.59094	15671.86506	4976
M300750	73	39.84386575463915	3.7383897749422865	Colon	Positive	MSEB0010	G121eO301A	B11	12060.51008	16688.9842	4976
M300751	80	43.869573328332486	3.7386960100623794	Colon	Positive	MSEB0010	G121eO301A	B11	11931.1964	19713.76962	4976
M300753	65	35.11840333352269	3.5899834615028885	Colon	Positive	MSEB0010	G121eO301A	B12	13884.29948	20066.12646	4815
M300755	76	38.643425167938354	3.896214936436345	Colon	Positive	MSEB0010	G121eO301A	B12	13715.67514	19528.97232	4815
M300756	103	43.20139334991148	3.990431917117807	Colon	Positive	MSEB0010	G121eO301A	B12	13508.6447	19087.25324	4815
M300757	83	39.509498602663356	3.977505016856614	Colon	Positive	MSEB0010	G121eO301A	B12	13209.3237	18911.46378	4815
M300758	98	47.502632166098294	3.7846663183377003	Colon	Positive	MSEB0010	G121eO301A	B12	13454.4955	18211.87688	4815
M300759	105	45.50758530398266	4.065463313219755	Colon	Positive	MSEB0010	G121eO301A	B12	13356.62736	17525.29242	4815
M300760	78	37.48234366410063	3.8955423608226245	Colon	Positive	MSEB0010	G121eO301A	B12	12866.49454	15050.06616	5140
M300761	115	45.5782376607257	4.024987145557587	Colon	Positive	MSEB0010	G121eO301A	B12	12921.93834	15311.99024	5140
M300763	125	50.960537437045396	3.971121486890579	Colon	Positive	MSEB0010	G121eO301A	B12	12995.94598	15577.54522	5140
M300764	115	48.329754555107804	3.8422268074550536	Colon	Positive	MSEB0010	G121eO301A	B12	12999.10738	16205.10154	5140
M300766	112	46.70480678316389	4.063781208443144	Colon	Positive	MSEB0010	G121eO301A	B12	13128.59698	18741.54252	5140
M300767	100	41.24388711581881	3.8942220218553705	Colon	Positive	MSEB0010	G121eO301A	B12	13103.6842	20085.08362	5140
M300768	79	38.78459821272535	3.8403936740247637	Colon	Positive	MSEB0010	G121eO301A	B12	12299.77816	15261.2528	4815
M300771	58	34.64327167247729	3.7209419783079136	Colon	Positive	MSEB0010	G121eO301A	B12	12230.63648	14216.24098	4815
M300772	102	47.63978291347428	3.790707073766032	Colon	Positive	MSEB0010	G121eO301A	B12	12192.80424	14393.51548	4815
M300773	106	50.26274552026628	3.5457392071729985	Colon	Positive	MSEB0010	G121eO301A	B12	12122.68414	16011.33192	4815
M300774	114	46.30682604803857	4.0582564180905845	Colon	Positive	MSEB0010	G121eO301A	B12	12155.62428	16716.4693	4815
M300775	92	40.48261242681685	3.9175408675034795	Colon	Positive	MSEB0010	G121eO301A	B12	12941.42922	17792.20912	4815
M300776	71	37.6550192543244	3.747935040633185	Colon	Positive	MSEB0010	G121eO301A	B12	10481.8709	16446.69692	5306
M300778	82	41.038917842394895	3.831210490178808	Colon	Positive	MSEB0010	G121eO301A	B12	10349.8842	16974.87142	5306
M300780	88	40.13009351754767	3.8803012188889343	Colon	Positive	MSEB0010	G121eO301A	B12	10386.11188	17635.7851	5306
M300782	86	39.3024141461956	3.892169830555381	Colon	Positive	MSEB0010	G121eO301A	B12	10499.6086	18348.85048	5306
M300783	67	37.37163174123688	3.7721924493513317	Colon	Positive	MSEB0010	G121eO301A	B12	10505.17912	19231.33282	5306
M300784	63	33.76452492028719	3.734823568651589	Colon	Positive	MSEB0010	G121eO301A	B12	11637.20456	19482.30058	4656
M300786	44	28.49382837563507	3.612460117301445	Colon	Positive	MSEB0010	G121eO301A	B12	11099.17694	18995.86744	4656
M300787	106	45.535130733469465	3.977903911702821	Colon	Positive	MSEB0010	G121eO301A	B12	10460.97366	19686.93828	4656
M300788	62	33.58389354233593	3.7207196406035066	Colon	Positive	MSEB0010	G121eO301A	B12	10442.08368	20914.3589	4656
M300791	47	26.239698077690093	3.687148802150482	Colon	Positive	MSEB0010	G121eO301A	B12	11146.55684	21763.21792	4656
M300792	103	44.06860567847199	4.152050237911945	Colon	Positive	MSEB0010	G121eO301A	B12	11630.3341	20543.5896	5140
M300794	105	44.71253961159028	3.957157558040138	Colon	Positive	MSEB0010	G121eO301A	B12	11673.93686	21223.36474	5140
M300797	96	39.84992498815306	3.92646648815318	Colon	Positive	MSEB0010	G121eO301A	B12	12879.97508	20904.88182	5140
M300798	116	39.422201084083014	4.074559306440281	Colon	Positive	MSEB0010	G121eO301A	B12	12256.4919	21371.44612	5140
